,names,scores,logfoldchanges,pvals,pvals_adj
0,NEAT1,4.1376524,1.6445426,3.508774266896197e-05,0.015403519031674306
1,APLP2,3.6204457,1.6415917,0.0002940958218057833,0.03926111159196559
2,CDK6,3.5234697,1.0403012,0.00042593595262829,0.04283776827551622
3,HLA-DRA,3.5153883,0.96973544,0.0004391115199084806,0.04283776827551622
4,LYN,3.16789,1.756717,0.001535495530640269,0.1348165075902156
5,MEF2C,3.0385885,2.2475424,0.002376893072243223,0.1572608273776277
6,ADAM28,2.9416122,4.1313624,0.003265084968998247,0.17669961673011103
7,LIMS1,2.844636,1.6807318,0.0044462199302141465,0.19066469119069093
8,SUB1,2.8365548,0.93611985,0.004560317215267095,0.19066469119069093
9,LST1,2.7395785,1.9530897,0.006151803533578659,0.22604373145288006
10,TCF4,2.7234156,2.472584,0.006461069770463953,0.22604373145288006
11,BCL7A,2.6991718,2.9188595,0.00695123092167171,0.22604373145288006
12,HLA-DPA1,2.6991718,1.1751968,0.00695123092167171,0.22604373145288006
13,SPCS2,2.6021955,1.8025653,0.009262904805727454,0.2623493683686679
14,CCDC88A,2.5537074,1.9226956,0.010658280396069945,0.29243656836716914
15,CTSS,2.4728937,1.1879996,0.013402396240800626,0.33433504604457015
16,CUX1,2.432487,1.8617239,0.014995528078996628,0.3451995556249141
17,PRDX1,2.3920803,1.0021036,0.016753177468053285,0.36454259872266
18,NUP214,2.3597548,2.6767032,0.0182870142315104,0.36454259872266
19,AP1S2,2.3435922,2.1136277,0.019099042757679225,0.36454259872266
20,CENPH,2.3435922,4.2061515,0.019099042757679225,0.36454259872266
21,SWAP70,2.2789414,2.4856575,0.02267055207258979,0.3980948943946767
22,KCNQ1OT1,2.2546973,1.839016,0.024152335813723235,0.40780290085478843
23,KLF10,2.181965,2.3982692,0.02911210704927661,0.46473509071390656
24,SMC2,2.1658025,3.0541716,0.030326288667195896,0.47547288303210705
