,names,scores,logfoldchanges,pvals,pvals_adj
0,CTSS,48.36942,0.82772386,0.0,0.0
1,CYBB,47.842716,1.7133428,0.0,0.0
2,MNDA,46.36678,1.2761383,0.0,0.0
3,VCAN,39.03975,1.343513,0.0,0.0
4,SAMHD1,36.61582,1.388273,1.6019158226111852e-293,1.4064820922526204e-291
5,CD36,36.205406,1.6812415,5.005162422894253e-287,3.99502964300105e-285
6,MEGF9,34.19507,2.131845,2.8626464368086954e-256,1.93338736270618e-254
7,IGKC,31.744516,2.1607473,3.779657614147732e-221,1.843632991789838e-219
8,ASAH1,28.399328,1.1039203,2.0611080629598424e-177,7.54022033032809e-176
9,HBB,27.8686,7.7586584,6.410990667370168e-171,2.251539922380403e-169
10,KCTD12,27.633009,1.3642576,4.466468497256398e-168,1.4524293854041178e-166
11,IRAK3,26.609606,1.9217728,5.255390197662372e-156,1.6479402119812724e-154
12,DUSP6,26.435413,1.2867821,5.3689539458339e-154,1.625497091186953e-152
13,NCOA4,26.281881,1.4165916,3.090002944421023e-152,8.751685758715028e-151
14,PPBP,25.86645,2.7112284,1.5891112231102056e-147,4.227998951184123e-146
15,AP1S2,24.923035,0.74741924,4.1875967251301134e-137,9.937053850443891e-136
16,CD93,24.89661,1.5549499,8.096369978018469e-137,1.8706875896579517e-135
17,DMXL2,24.727476,1.6054349,5.417469549356998e-135,1.2196251959834474e-133
18,CCDC88A,24.116827,1.5952501,1.6649346946446966e-128,3.5653967363366914e-127
19,MARCH1,24.004656,1.3000196,2.486281763400319e-127,5.1975128292035236e-126
20,IGHA1,23.942175,2.388319,1.1147985444056265e-126,2.2762630743910235e-125
21,CLEC12A,23.124292,1.3207743,2.6380435358554033e-118,5.1471160544023206e-117
22,PLXDC2,22.775352,1.5621601,8.049048651327779e-115,1.4723051491387063e-113
23,STAT1,22.497072,1.5956881,4.43378059694832e-112,7.944610947184949e-111
24,LIMS1,22.366037,1.61206,8.430234778093884e-111,1.4513227716012608e-109
