,names,scores,logfoldchanges,pvals,pvals_adj
0,SAMHD1,11.890328,1.3173645,1.3288301160429254e-32,5.833564209428443e-30
1,CTSS,10.302117,1.0329263,6.892687629154748e-25,1.0086299563996448e-22
2,MEF2C,10.262651,1.8894876,1.0381673398602762e-24,1.3021584634247463e-22
3,MTDH,9.621642,0.96663356,6.478856087505345e-22,6.32048404981077e-20
4,IGSF6,8.715642,1.1348757,2.891156533945035e-18,2.3076685789124915e-16
5,CCDC88A,8.555173,1.2039107,1.1769225349928263e-17,8.6111498810308455e-16
6,DPYSL2,8.485781,1.4210699,2.1427504951290948e-17,1.4471807190179578e-15
7,MNDA,8.273268,0.7916066,1.3033669171777378e-16,8.17397252344324e-15
8,AIF1,8.254619,0.6105797,1.523882031611481e-16,8.362302648468003e-15
9,AP1S2,8.242475,0.83471113,1.6868451160824756e-16,8.712058893649491e-15
10,MARCH1,8.22556,1.4146338,1.942800301464064e-16,9.476548137141379e-15
11,IL13RA1,8.206911,1.5897394,2.2695077466429465e-16,1.0487514745013196e-14
12,KCTD12,8.153566,1.4882475,3.5334631069541016e-16,1.5511903039528504e-14
13,JAML,7.977484,0.78927904,1.4934626284722911e-15,6.244096132374626e-14
14,NCOA4,7.9319453,1.369236,2.1573918781646108e-15,8.609954859220583e-14
15,CLEC10A,7.8330617,1.7536405,4.761301912725511e-15,1.8175752519013038e-13
16,TPM4,7.670858,1.4605303,1.7084979884309425e-14,6.00024493536947e-13
17,PTPRE,7.5537586,1.2588795,4.2287310220577626e-14,1.4280099374487367e-12
18,YWHAE,7.5225325,0.75952727,5.372532162010297e-14,1.7470678660166818e-12
19,LIMS1,7.360762,1.6083915,1.8286318625110158e-13,5.7340670545881135e-12
20,SUB1,7.3121877,0.6630683,2.6282765697424495e-13,7.817251446644133e-12
21,LYST,7.310019,1.5559671,2.6710426355276083e-13,7.817251446644133e-12
22,FGL2,6.9522166,0.80791986,3.5959123091897786e-12,9.285914727848899e-11
23,SSR3,6.9478793,1.1146538,3.708177920508718e-12,9.302229183447583e-11
24,HSP90B1,6.9348683,0.9273553,4.065995297082096e-12,9.916510752328e-11
