,names,scores,logfoldchanges,pvals,pvals_adj
0,TRDC,5.485313,4.701604,4.127377958022325e-08,7.247675694287202e-06
1,GZMB,5.315308,3.468298,1.0647694581441108e-07,1.558112640417549e-05
2,KLRD1,5.1692104,3.188042,2.3508526244202186e-07,2.9486408632013594e-05
3,TYROBP,5.0682697,3.3916626,4.0144790026163116e-07,3.916347293663468e-05
4,ID2,4.9806113,2.7338471,6.338378769429551e-07,5.565096559559146e-05
5,GNLY,4.9274845,3.5883968,8.329497645147284e-07,6.094415777032762e-05
6,NKG7,4.5981,1.5988495,4.263609288216842e-06,0.0002879576119272605
7,CTSW,4.4865346,2.2493596,7.239099409096589e-06,0.0004539949486562003
8,FCGR3A,4.465284,2.9938865,7.996264380536577e-06,0.0004680480084074076
9,GSTP1,4.4267673,0.95370907,9.565587915742655e-06,0.0005249116368763782
10,NEAT1,4.341765,1.2643174,1.4134282562922107e-05,0.0006894388939025338
11,KLRF1,4.2766848,3.192071,1.896971199618427e-05,0.0008766003754026205
12,GZMH,4.2036357,2.539798,2.6266144024192907e-05,0.0010482579296927897
13,HOPX,4.1518373,2.4527595,3.298164986570624e-05,0.001234905676132527
14,MCM4,4.114649,2.4020462,3.8776920871063034e-05,0.0013618454609917337
15,ADGRG1,3.984489,2.9245882,6.762551401588077e-05,0.0021990815298497525
16,PCNA,3.8609698,1.7673315,0.00011293788329746503,0.003541409340541939
17,HELLS,3.8344066,2.1728892,0.00012586783960221373,0.003810757350715298
18,STMN1,3.7613575,1.7039982,0.00016899366576294321,0.004786336727092392
19,CHEK1,3.7454195,2.1910326,0.00018009253273557692,0.004941288866932392
20,SMC4,3.7294817,1.505047,0.00019187409861328965,0.005105013896438434
21,HNRNPAB,3.601978,1.499258,0.0003158051228353062,0.00770213605137219
22,HLA-DPA1,3.594009,1.3367748,0.00032562858077542716,0.007727078214076353
23,FGFBP2,3.424004,1.7156683,0.0006170568094493975,0.013544396967414276
24,CST7,3.3390017,1.1304457,0.0008408004684175372,0.01800543442123409
