,names,scores,logfoldchanges,pvals,pvals_adj
0,NEAT1,24.22529,0.9798544,1.2047227204951563e-129,2.644366371486868e-127
1,GZMB,24.184286,0.8965033,3.255781078954029e-129,5.717151574643275e-127
2,HSP90B1,21.927275,0.91118175,1.427210517800381e-106,1.790129763755335e-104
3,ID2,20.842274,1.0040951,1.7912326836324672e-96,1.74744699581034e-94
4,TYROBP,20.122084,1.4252326,4.727783860391161e-90,4.150994229423439e-88
5,KLRD1,20.031136,0.5656983,2.9486214791703772e-89,2.157408048926326e-87
6,CMC1,19.396475,1.27761,8.264852655148805e-84,5.581954331708193e-82
7,KLRB1,18.4938,1.3124682,2.316453463796393e-76,1.4527472437237377e-74
8,FGL2,16.897213,2.2836022,4.716733515068929e-64,2.3007177923502883e-62
9,CTSS,16.136982,0.92251056,1.402310193908876e-58,6.480149211852595e-57
10,SAMHD1,16.127998,1.2803077,1.6219176856684388e-58,7.120218640084446e-57
11,HBB,15.46699,5.9581637,5.795389479318248e-54,2.4230247442102006e-52
12,KLRF1,15.266775,0.9429525,1.2731596360591798e-52,5.0810643657270905e-51
13,FCGR3A,14.975649,0.72478765,1.0592882371526021e-50,4.043717705304281e-49
14,TRDC,14.894593,1.2860495,3.573527703708693e-50,1.3073155516067636e-48
15,SPCS3,14.114894,1.0814005,3.074767242460389e-45,9.998687551408228e-44
16,ISG20,13.881714,0.6173117,8.176564807015575e-44,2.5639371073427407e-42
17,FKBP11,13.623002,0.8989851,2.923009432642154e-42,8.849663040895901e-41
18,PPBP,13.335501,2.0527287,1.438849343918409e-40,4.2110324132012103e-39
19,CX3CR1,13.092266,0.80468875,3.6456510076167246e-39,1.032542446673382e-37
20,HSPA5,12.723727,0.5692286,4.365290126139755e-37,1.1272719796325602e-35
21,SUB1,12.528153,0.3312321,5.2367937091020013e-36,1.3136871075975877e-34
22,LYST,12.518203,1.3570936,5.936434859443124e-36,1.4478305018308508e-34
23,CD160,12.330489,1.091732,6.20686343781227e-35,1.3624065245997933e-33
24,LMAN1,12.117985,1.3255464,8.481918398160394e-34,1.8163717935572746e-32
