,names,scores,logfoldchanges,pvals,pvals_adj
0,AIF1,9.919059,0.38175958,3.43986077339415e-23,3.0201977590400636e-21
1,FCGR3A,9.74176,0.48447815,2.0005820388920552e-22,1.4637591917893536e-20
2,ASAH1,9.360824,0.7081718,7.911736547000866e-21,4.961789063047686e-19
3,CYBB,9.281267,1.0425233,1.6747496462538173e-20,9.802867929405678e-19
4,FTL,8.404805,0.31970647,4.2857144414484045e-17,2.351785799744812e-15
5,CTSS,8.294094,0.33720443,1.0941543492140705e-16,5.513941714124395e-15
6,LST1,7.778112,0.25972968,7.361487888683681e-15,3.0776684443243724e-13
7,LYN,7.708316,0.4811708,1.274887769918256e-14,4.866745486905342e-13
8,TNFRSF1B,7.352383,0.4969454,1.9470396167528625e-13,6.5750030134962044e-12
9,HSP90B1,7.2440786,1.0588388,4.3538821298566054e-13,1.4158179666718888e-11
10,NCOA4,6.9492507,1.1248993,3.672312813629612e-12,1.0400937581828385e-10
11,HSPD1,6.9354787,1.3754747,4.048477478867581e-12,1.1108010082642927e-10
12,CLEC7A,6.7224803,0.8043349,1.786566147605915e-11,4.4817287931371236e-10
13,LYPD2,6.685042,2.2123184,2.3085834549365752e-11,5.334042824827139e-10
14,LILRA5,6.284183,0.71628845,3.295825564049305e-10,7.419832936500744e-09
15,IGSF6,6.259714,0.76690817,3.8568375701294256e-10,8.259276552618623e-09
16,LIMS1,6.209306,1.0059441,5.321913325455592e-10,1.1125333094642881e-08
17,MARCH1,6.196604,0.98932683,5.769457001584173e-10,1.1780426156723032e-08
18,LYST,5.998848,0.63069886,1.9872206248829265e-09,3.8772882414382436e-08
19,VMO1,5.8326483,2.5503852,5.4554563208338306e-09,9.775287040187966e-08
20,YWHAE,5.688109,0.7697397,1.2845400451764412e-08,2.1279738861602176e-07
21,NAMPT,5.6570883,0.6380268,1.539625574185245e-08,2.50331713728638e-07
22,SEC14L1,5.608552,0.9029467,2.040264118954611e-08,3.257003448076633e-07
23,P2RY13,5.574991,1.0661328,2.4754257067180887e-08,3.881113875890146e-07
24,MS4A7,5.531803,0.27925366,3.169555812958383e-08,4.798051730650793e-07
