,names,scores,logfoldchanges,pvals,pvals_adj
0,MTDH,7.4611597,1.9829499,8.576427316360907e-14,3.7650515918824386e-11
1,HSP90B1,5.498123,0.9787218,3.838550349346756e-08,8.42561801681613e-06
2,SPCS2,5.3137717,1.6668795,1.0737905194212237e-07,1.8855761521036688e-05
3,SPCS3,4.9430437,1.9705845,7.691228533461295e-07,0.00011254831087298361
4,C12orf75,4.74046,0.8150028,2.1323373789324335e-06,0.0002340240273378346
5,CTSS,4.1590443,1.0488985,3.195817126447023e-05,0.0024877841991637283
6,HSPA5,3.9990032,1.3440306,6.360979772307994e-05,0.0042961078769895526
7,OSTC,3.913918,1.0905418,9.08104450099158e-05,0.005360234657999375
8,SSR3,3.9118922,1.3452528,9.157576294987543e-05,0.005360234657999375
9,BCL11A,3.6951277,1.0215924,0.00021977633988543572,0.01135080155408309
10,TGFBI,3.6768951,1.186812,0.00023609005345680024,0.011386911258109662
11,CALR,3.6627142,1.0958047,0.0002495568687727434,0.011386911258109662
12,HERPUD1,3.64043,0.9312022,0.0002721830573014494,0.011386911258109662
13,TPM4,3.6363783,1.5567662,0.0002764981124906593,0.011386911258109662
14,LYN,3.628275,1.3402095,0.0002853212388136817,0.011386911258109662
15,HLA-DRA,3.59181,0.34454167,0.0003283893162362405,0.012013575818975797
16,MARCH1,3.59181,1.5283458,0.0003283893162362405,0.012013575818975797
17,LTB,3.5573707,1.7405063,0.000374585372832139,0.013155438293864723
18,SEC11C,3.5431898,1.4584457,0.0003953180179443559,0.013349585375197863
19,PPIB,3.4743114,0.3979128,0.0005121663405533927,0.015861257123732375
20,SAMHD1,3.4358203,0.81997,0.0005907623514597183,0.017289644819387755
21,LINC00996,3.3811228,2.063627,0.0007219026284708144,0.02044614541281855
22,CCDC50,3.3243995,0.4281782,0.0008860919988116778,0.02431214921739541
23,CLEC4C,3.2514691,1.0367622,0.001148102002134417,0.02800093216316717
24,AP1S2,3.2352626,1.3127463,0.0012153092921135416,0.028838961039883503
