,names,scores,logfoldchanges,pvals,pvals_adj
0,S100A9,4.371397,3.1251395,1.2345403419798648e-05,0.006570874293070947
1,LIMS1,3.0128148,0.74925715,0.002588368740845454,0.2029874391256978
2,NEAT1,2.7805183,3.804556,0.005427220427676474,0.31767330236666297
3,S100A8,2.5200646,1.9759438,0.01173332756595272,0.6059918589944993
4,RGS18,2.428554,0.487575,0.015159169991154124,0.7005132238017537
5,HIST1H1C,2.3722396,1.7250154,0.01768061890093451,0.776179169751025
6,METTL7A,2.2948074,4.157441,0.021744159170879417,0.9091129405729584
7,KCNE3,2.2173753,2.4119341,0.026597453664145305,0.9730235132133157
8,PDGFA,2.0765896,1.4497783,0.03783945353568586,1.0
9,CTSS,2.062511,3.3598235,0.03915910880857993,1.0
10,DAB2,1.8724502,1.1159799,0.06114433389680783,1.0
11,HHEX,1.8513324,1.8252476,0.06412174426287877,1.0
12,PTAFR,1.8020574,3.1639216,0.07153637259956928,1.0
13,MTDH,1.7809396,4.0883603,0.07492232570318062,1.0
14,NEXN,1.7527825,1.0203094,0.07963936382791871,1.0
15,FCN1,1.7457432,2.9351275,0.08085559837005224,1.0
16,AHR,1.7457432,30.222141,0.08085559837005224,1.0
17,MEF2C,1.7105467,1.6854109,0.08716482769735877,1.0
18,PLXDC2,1.7105467,1.5871841,0.08716482769735877,1.0
19,VIM,1.6964681,1.5897563,0.08979726370900999,1.0
20,S100A12,1.6823895,3.5390556,0.09249332820153842,1.0
21,RHOC,1.6823895,1.2566332,0.09249332820153842,1.0
22,HBB,1.6612717,2.7593615,0.09665889498907843,1.0
23,FOS,1.6401538,2.039186,0.10097318835723339,1.0
24,TNF,1.5275252,30.130236,0.12663045794761718,1.0
