,names,scores,logfoldchanges,pvals,pvals_adj
0,IL7R,19.800735,0.9169232,2.9337926875899474e-87,1.287934989851987e-84
1,NEAT1,11.633804,0.8436532,2.7745215895306167e-31,2.706699950675424e-29
2,STAT1,11.410251,1.3243312,3.7165604109256205e-30,3.263140040792695e-28
3,SAMHD1,11.088932,1.1073881,1.4197300335941648e-28,1.1332026995415243e-26
4,HSP90B1,10.220434,0.63122356,1.6061998130960985e-24,1.1752028632486455e-22
5,KLF10,9.996763,2.5581017,1.5745932528899406e-23,9.874949114552627e-22
6,GPR183,8.616815,0.88781583,6.884255842726764e-18,3.555515664655352e-16
7,KLRB1,8.310962,1.0884767,9.492924172828222e-17,4.386730223022726e-15
8,LMAN1,8.211586,1.2591362,2.1828561290493805e-16,9.582738406526779e-15
9,SPCS3,8.204893,1.0612569,2.307965603185452e-16,9.649494283794413e-15
10,FTL,8.151962,0.18679208,3.5806594596804303e-16,1.4290086389088263e-14
11,HBB,8.013729,5.9679832,1.1128130154420543e-15,4.248042728513581e-14
12,HSPA5,7.88844,0.6156965,3.059874027674128e-15,1.1194039151241185e-13
13,HLA-DPA1,7.5390005,0.9268757,4.735876602494988e-14,1.599269098842538e-12
14,PPBP,7.239959,1.9947201,4.4882106025705696e-13,1.4073746103774857e-11
15,PPIB,7.0714436,0.26098424,1.5332991298445202e-12,4.6421952965637544e-11
16,SEC61G,7.0522504,0.46063235,1.7604680681300495e-12,5.152303212727278e-11
17,FKBP11,7.0055065,0.7639773,2.4609360606379187e-12,6.970006004000298e-11
18,MT2A,6.992482,0.7236321,2.700650637560882e-12,7.40991018680767e-11
19,CTSS,6.7880135,0.6091108,1.1368787488166832e-11,2.9358221807677876e-10
20,HSPD1,6.3993645,0.55820775,1.5602489913407014e-10,3.805273928880933e-09
21,PRDM1,6.3890896,0.99084264,1.6687626799615887e-10,3.9599287378547974e-09
22,FKBP2,6.338203,0.7676478,2.324602021474628e-10,5.371054144354535e-09
23,TNFSF10,6.1631846,0.7737189,7.129618700258573e-10,1.6050782612376994e-08
24,TPM4,5.704465,0.7890722,1.1670897562480478e-08,2.499280014599478e-07
